date,equipo_local_norm,equipo_visitante_norm,goles_local_num,goles_visitante_num,local_lastN_matches,local_lastN_wins,local_lastN_winrate,local_lastN_goals_for,local_lastN_goals_against,local_lastN_remates_total,local_lastN_remates_puerta,local_lastN_possession_avg,visitante_lastN_matches,visitante_lastN_wins,visitante_lastN_winrate,visitante_lastN_goals_for,visitante_lastN_goals_against,visitante_lastN_remates_total,visitante_lastN_remates_puerta,visitante_lastN_possession_avg,total_goles_partido,diferencia_goles_partido,resultado_texto
28/09/2025,deportivo maipu,colegiales,0.167,0.4,1,0.2,0.2,0.308,0.286,0.674,0.63,0.836,1,0.4,0.4,0.429,0.231,0.364,0.349,0.803,0.429,0.3,gana_visitante
28/09/2025,alvarado,all boys,0,0,1,0.2,0.2,0.077,0.286,0.349,0.261,0.773,1,0,0,0.071,0.231,0.432,0.395,0.837,0,0.4,empate
28/09/2025,club a. guemes,san miguel,0.167,0,1,0.4,0.4,0.231,0.214,0.43,0.37,0.819,1,0.4,0.4,0.214,0.077,0.432,0.535,0.803,0.143,0.5,gana_local
28/09/2025,defensores unidos,temperley,0,0,1,0.2,0.2,0.154,0.429,0.337,0.37,0.803,1,0.4,0.4,0.286,0.385,0.375,0.488,0.857,0,0.4,empate
28/09/2025,deportivo madryn,arsenal sarandi,0.333,0.2,1,0.6,0.6,0.538,0.286,0.547,0.587,0.878,1,0.4,0.4,0.429,0.462,0.773,0.767,0.87,0.429,0.5,gana_local
28/09/2025,los andes,ferro carril oeste,0,0.2,1,0.2,0.2,0.154,0.214,0.465,0.348,0.77,1,0.2,0.2,0.286,0.385,0.364,0.419,0.88,0.143,0.3,gana_visitante
28/09/2025,patronato,almagro,0,0,1,0.2,0.2,0.077,0.071,0.326,0.304,0.868,1,0,0,0.286,0.462,0.58,0.628,0.827,0,0.4,empate
28/09/2025,chacarita,gimnasia mendoza,0.167,0.2,1,0,0,0.231,0.357,0.477,0.283,0.743,1,0.4,0.4,0.286,0.308,0.75,0.581,0.933,0.286,0.4,empate
28/09/2025,deportivo moron,ca mitre,0.5,0,1,0.4,0.4,0.231,0.143,0.488,0.391,0.845,1,0.4,0.4,0.571,0.385,0.545,0.721,0.843,0.429,0.7,gana_local
27/09/2025,tristan suarez,racing cordoba,0.667,0.2,1,0.2,0.2,0.308,0.214,0.314,0.217,0.773,1,0.4,0.4,0.357,0.308,0.614,0.721,0.863,0.714,0.7,gana_local
27/09/2025,ca estudiantes,colon,0.167,0,1,0.8,0.8,0.846,0.143,0.674,0.848,0.809,1,0,0,0.071,0.385,0.432,0.349,0.817,0.143,0.5,gana_local
27/09/2025,def. de belgrano,central norte,0.333,0,1,0.6,0.6,0.462,0.214,0.488,0.543,0.832,1,0.4,0.4,0.286,0.538,0.364,0.279,0.843,0.286,0.6,gana_local
27/09/2025,talleres (r.e),chaco for ever,0.167,0,1,0.2,0.2,0.154,0.429,0.465,0.348,0.783,1,0.4,0.4,0.357,0.077,0.739,0.698,0.85,0.143,0.5,gana_local
27/09/2025,nueva chicago,agropecuario,0.167,0,1,0.2,0.2,0.154,0.286,0.384,0.304,0.809,1,0.8,0.8,0.714,0.154,0.523,0.721,0.823,0.143,0.5,gana_local
27/09/2025,san telmo,gimnasia jujuy,0.5,0.4,1,0.2,0.2,0.231,0.643,0.535,0.348,0.809,1,0.2,0.2,0.071,0.308,0.239,0.116,0.85,0.714,0.5,gana_local
27/09/2025,gimnasia y tiro,atlanta,0.333,0.4,1,0.4,0.4,0.538,0.357,0.581,0.587,0.796,1,0.6,0.6,0.286,0.385,0.636,0.674,0.81,0.571,0.4,empate
23/09/2025,all boys,deportivo madryn 2,0,0,1,0.2,0.2,0.231,0.286,0.453,0.413,0.793,0,0,0,0,0,0,0,0,0,0.4,empate
23/09/2025,quilmes,club a. guemes,0,0,1,0.2,0.2,0.308,0.214,0.442,0.435,0.868,1,0.4,0.4,0.286,0.385,0.477,0.488,0.84,0,0.4,empate
21/09/2025,racing cordoba,san martin tuc.,0.167,0,1,0.2,0.2,0.308,0.357,0.663,0.674,0.836,1,0.4,0.4,0.429,0.462,0.455,0.512,0.96,0.143,0.5,gana_local
21/09/2025,gimnasia jujuy,agropecuario,0,0.4,1,0.4,0.4,0.231,0.143,0.256,0.196,0.852,1,0.8,0.8,0.714,0.231,0.625,0.86,0.807,0.286,0.2,gana_visitante
21/09/2025,central norte,chacarita,0.333,0.2,1,0.2,0.2,0.154,0.429,0.442,0.326,0.812,1,0,0,0.143,0.231,0.432,0.279,0.797,0.429,0.5,gana_local
21/09/2025,colon,deportivo moron,0,0,1,0,0,0.077,0.429,0.407,0.304,0.803,1,0.6,0.6,0.286,0.154,0.523,0.581,0.84,0,0.4,empate
21/09/2025,ca mitre,talleres (r.e),0.333,0,1,0.2,0.2,0.538,0.5,0.628,0.804,0.826,1,0.4,0.4,0.286,0.385,0.534,0.488,0.807,0.286,0.6,gana_local
21/09/2025,alvarado,los andes,0.167,0,1,0,0,0,0.286,0.256,0.174,0.786,1,0.4,0.4,0.214,0.154,0.466,0.419,0.767,0.143,0.5,gana_local
21/09/2025,defensores unidos,nueva chicago,0,0,1,0.2,0.2,0.231,0.643,0.326,0.37,0.812,1,0.2,0.2,0.143,0.308,0.33,0.256,0.813,0,0.4,empate
21/09/2025,alte. brown,def. de belgrano,0.167,0.4,1,0.4,0.4,0.308,0.357,0.372,0.239,0.783,1,0.6,0.6,0.5,0.231,0.58,0.698,0.847,0.429,0.3,gana_visitante
20/09/2025,chaco for ever,estudiantes rio cuarto,0.333,0,1,0.2,0.2,0.231,0.214,0.651,0.543,0.836,1,1,1,0.429,0.077,0.409,0.605,0.823,0.286,0.6,gana_local
20/09/2025,gimnasia mendoza,san telmo,0.333,0,1,0.2,0.2,0.154,0.357,0.581,0.435,0.891,1,0.4,0.4,0.286,0.538,0.534,0.442,0.88,0.286,0.6,gana_local
20/09/2025,temperley,ca estudiantes,0.167,0.6,1,0.4,0.4,0.231,0.143,0.314,0.37,0.855,1,0.6,0.6,0.571,0.154,0.648,0.93,0.827,0.571,0.2,gana_visitante
20/09/2025,arsenal sarandi,deportivo maipu 2,0.167,0.4,1,0.4,0.4,0.385,0.357,0.779,0.739,0.819,0.2,0,0,0.071,0.154,0.068,0.07,0.85,0.429,0.3,gana_visitante
20/09/2025,colegiales,gimnasia y tiro,0.333,0,1,0.2,0.2,0.308,0.286,0.372,0.348,0.757,1,0.6,0.6,0.571,0.231,0.534,0.605,0.837,0.286,0.6,gana_local
20/09/2025,san miguel,patronato,0,0,1,0.4,0.4,0.308,0.143,0.453,0.565,0.803,1,0.4,0.4,0.143,0.077,0.386,0.395,0.857,0,0.4,empate
20/09/2025,almagro,ferro carril oeste,0,0.2,1,0,0,0.308,0.357,0.674,0.696,0.839,1,0.2,0.2,0.286,0.385,0.443,0.512,0.887,0.143,0.3,gana_visitante
20/09/2025,atlanta,tristan suarez,0.167,0,1,0.4,0.4,0.231,0.357,0.488,0.478,0.76,1,0.2,0.2,0.429,0.308,0.341,0.302,0.787,0.143,0.5,gana_local
15/09/2025,agropecuario,gimnasia mendoza,0.333,0,1,0.8,0.8,0.692,0.214,0.651,0.783,0.786,1,0.4,0.4,0.286,0.308,0.511,0.442,0.91,0.286,0.6,gana_local
14/09/2025,san martin tuc.,atlanta,0.667,0,1,0.2,0.2,0.154,0.429,0.523,0.5,0.931,1,0.4,0.4,0.286,0.154,0.523,0.581,0.837,0.571,0.8,gana_local
14/09/2025,estudiantes rio cuarto,ca mitre,0.167,0,1,0.8,0.8,0.462,0.214,0.442,0.587,0.799,1,0.2,0.2,0.571,0.538,0.648,0.907,0.8,0.143,0.5,gana_local
14/09/2025,deportivo madryn,alvarado,0.167,0,1,0.6,0.6,0.692,0.357,0.64,0.739,0.882,1,0,0,0,0.231,0.352,0.233,0.787,0.143,0.5,gana_local
14/09/2025,club a. guemes,racing cordoba,0.167,0,1,0.2,0.2,0.308,0.429,0.547,0.457,0.862,1,0.4,0.4,0.429,0.308,0.795,0.953,0.84,0.143,0.5,gana_local
14/09/2025,deportivo maipu,all boys,0,0,1,0.2,0.2,0.308,0.357,0.64,0.609,0.816,1,0.4,0.4,0.286,0.308,0.455,0.488,0.8,0,0.4,empate
14/09/2025,patronato,quilmes,0.167,0,1,0.2,0.2,0.077,0.143,0.43,0.348,0.872,1,0.2,0.2,0.286,0.231,0.409,0.558,0.86,0.143,0.5,gana_local
14/09/2025,chacarita,alte. brown,0,0.2,1,0,0,0.154,0.357,0.395,0.239,0.809,1,0.2,0.2,0.214,0.385,0.295,0.279,0.803,0.143,0.3,gana_visitante
