date,equipo_local_norm,equipo_visitante_norm,goles_local_num,goles_visitante_num,ranking_local,ranking_visitante,local_lastN_matches,local_lastN_wins,local_lastN_winrate,local_lastN_goals_for,local_lastN_goals_against,local_lastN_remates_total,local_lastN_remates_puerta,local_lastN_possession_avg,visitante_lastN_matches,visitante_lastN_wins,visitante_lastN_winrate,visitante_lastN_goals_for,visitante_lastN_goals_against,visitante_lastN_remates_total,visitante_lastN_remates_puerta,visitante_lastN_possession_avg,total_goles_partido,diferencia_goles_partido,resultado_texto,peso
2025-09-28,deportivo maipu,colegiales,1,2,1.0,0.19999999999999996,6,2,0.333,6,5,64,32,49.5,6,2,0.333,6,4,39,19,47.833,3,-1,gana_visitante,2
2025-09-28,alvarado,all boys,0,0,0.9428571428571428,0.5142857142857142,6,1,0.167,1,4,36,15,47.0,6,1,0.167,3,4,42,21,49.0,0,0,empate,2
2025-09-28,club a guemes,san miguel,1,0,0.8857142857142857,0.17142857142857137,6,2,0.333,4,5,52,25,51.0,6,2,0.333,3,3,45,25,46.5,1,1,gana_local,2
2025-09-28,defensores unidos,temperley,0,0,0.8571428571428572,0.22857142857142854,6,1,0.167,3,9,35,21,49.167,6,2,0.333,4,5,37,23,52.5,0,0,empate,2
2025-09-28,deportivo madryn,arsenal sarandi,2,1,0.8,0.19999999999999996,6,3,0.5,7,4,47,27,52.333,6,2,0.333,6,7,89,42,51.0,3,1,gana_local,2
2025-09-28,los andes,ferro carril oeste,0,1,0.7714285714285715,0.0,6,2,0.333,3,3,50,22,47.833,6,2,0.333,5,5,43,24,53.0,1,-1,gana_visitante,2
2025-09-28,patronato,almagro,0,0,0.7142857142857143,0.11428571428571432,6,2,0.333,2,1,36,18,53.167,6,0,0.0,4,6,62,33,50.5,0,0,empate,2
2025-09-28,chacarita,gimnasia mendoza,1,1,0.6571428571428571,0.17142857142857137,6,0,0.0,4,6,49,18,45.833,6,2,0.333,4,5,71,26,55.0,2,0,empate,2
2025-09-28,deportivo moron,ca mitre,3,0,0.6,0.22857142857142854,6,3,0.5,4,2,54,25,51.667,6,2,0.333,9,7,61,42,51.0,3,3,gana_local,2
2025-09-27,tristan suarez,racing cordoba,4,1,0.5714285714285714,0.34285714285714286,6,1,0.167,6,5,33,15,46.5,6,2,0.333,5,5,69,37,50.833,5,3,gana_local,2
2025-09-27,ca estudiantes,colon,1,0,0.5428571428571429,0.2571428571428571,6,4,0.667,11,3,65,44,48.833,6,0,0.0,1,6,43,16,47.667,1,1,gana_local,2
2025-09-27,def de belgrano,central norte,2,0,0.5142857142857142,0.2857142857142857,6,4,0.667,9,4,53,32,50.333,6,2,0.333,4,7,45,17,50.5,2,2,gana_local,2
2025-09-27,talleres (re),chaco for ever,1,0,0.48571428571428577,0.17142857142857137,6,2,0.333,4,7,52,24,47.833,6,2,0.333,5,3,69,31,50.5,1,1,gana_local,2
2025-09-27,nueva chicago,agropecuario,1,0,0.4571428571428572,0.05714285714285716,6,1,0.167,2,4,38,15,49.333,6,5,0.833,12,3,59,39,49.0,1,1,gana_local,2
2025-09-27,san telmo,gimnasia jujuy,3,2,0.4285714285714286,0.3142857142857143,6,2,0.333,4,9,51,19,50.833,6,2,0.333,3,4,28,9,51.167,5,1,gana_local,2
2025-09-27,gimnasia y tiro,atlanta,2,2,0.4,0.08571428571428574,6,3,0.5,8,5,61,30,49.0,6,3,0.5,4,5,60,30,48.0,4,0,empate,2
2025-09-23,all boys,deportivo madryn,0,0,0.5428571428571429,0.9714285714285714,6,2,0.333,4,4,42,21,47.667,6,4,0.667,10,5,57,35,53.5,0,0,empate,2
2025-09-23,quilmes,club a guemes,0,0,0.34285714285714286,0.9714285714285714,6,1,0.167,4,4,42,24,51.833,6,2,0.333,5,6,49,22,51.333,0,0,empate,2
2025-09-21,racing cordoba,san martin tuc,1,0,0.3142857142857143,0.02857142857142858,6,2,0.333,6,5,70,41,51.0,6,2,0.333,6,6,53,27,57.333,1,1,gana_local,2
