date,equipo_local_norm,equipo_visitante_norm,goles_local_num,goles_visitante_num,ranking_local,ranking_visitante,local_lastN_matches,local_lastN_wins,local_lastN_winrate,local_lastN_goals_for,local_lastN_goals_against,local_lastN_remates_total,local_lastN_remates_puerta,local_lastN_possession_avg,visitante_lastN_matches,visitante_lastN_wins,visitante_lastN_winrate,visitante_lastN_goals_for,visitante_lastN_goals_against,visitante_lastN_remates_total,visitante_lastN_remates_puerta,visitante_lastN_possession_avg,total_goles_partido,diferencia_goles_partido,resultado_texto,peso
2025-09-28,deportivo maipu,colegiales,1,2,1.0,0.19999999999999996,9,3,0.333,8,7,88,44,50.0,9,4,0.444,10,6,56,30,47.333,3,-1,gana_visitante,2
2025-09-28,alvarado,all boys,0,0,0.9428571428571428,0.5142857142857142,9,1,0.111,2,6,69,21,46.333,9,3,0.333,5,4,52,26,47.889,0,0,empate,2
2025-09-28,club a guemes,san miguel,1,0,0.8857142857142857,0.17142857142857137,9,2,0.222,7,10,91,39,51.444,9,3,0.333,8,10,71,45,46.667,1,1,gana_local,2
2025-09-28,defensores unidos,temperley,0,0,0.8571428571428572,0.22857142857142854,9,2,0.222,8,13,63,39,47.111,9,3,0.333,5,5,60,34,50.667,0,0,empate,2
2025-09-28,deportivo madryn,arsenal sarandi,2,1,0.8,0.19999999999999996,9,6,0.667,16,7,84,53,52.333,9,4,0.444,14,12,127,64,52.0,3,1,gana_local,2
2025-09-28,los andes,ferro carril oeste,0,1,0.7714285714285715,0.0,9,3,0.333,6,5,74,37,47.667,9,2,0.222,5,10,67,33,52.333,1,-1,gana_visitante,2
2025-09-28,patronato,almagro,0,0,0.7142857142857143,0.11428571428571432,9,3,0.333,3,4,58,27,52.556,9,1,0.111,7,10,86,44,50.556,0,0,empate,2
2025-09-28,chacarita,gimnasia mendoza,1,1,0.6571428571428571,0.17142857142857137,9,1,0.111,6,9,67,27,49.111,9,5,0.556,9,6,108,45,53.889,2,0,empate,2
2025-09-28,deportivo moron,ca mitre,3,0,0.6,0.22857142857142854,9,4,0.444,7,5,85,38,51.222,9,2,0.222,10,11,84,49,48.556,3,3,gana_local,2
2025-09-27,tristan suarez,racing cordoba,4,1,0.5714285714285714,0.34285714285714286,9,3,0.333,9,7,63,36,47.111,9,3,0.333,7,9,100,54,51.0,5,3,gana_local,2
2025-09-27,ca estudiantes,colon,1,0,0.5428571428571429,0.2571428571428571,9,7,0.778,18,3,99,63,48.889,9,0,0.0,1,13,72,29,48.444,1,1,gana_local,2
2025-09-27,def de belgrano,central norte,2,0,0.5142857142857142,0.2857142857142857,9,4,0.444,10,8,78,43,51.111,9,3,0.333,6,8,60,26,50.889,2,2,gana_local,2
2025-09-27,talleres (re),chaco for ever,1,0,0.48571428571428577,0.17142857142857137,9,4,0.444,8,10,91,49,49.111,9,4,0.444,8,6,93,43,50.111,1,1,gana_local,2
2025-09-27,nueva chicago,agropecuario,1,0,0.4571428571428572,0.05714285714285716,9,2,0.222,5,9,61,28,48.667,9,6,0.667,15,6,100,61,49.778,1,1,gana_local,2
2025-09-27,san telmo,gimnasia jujuy,3,2,0.4285714285714286,0.3142857142857143,9,3,0.333,8,12,78,35,51.444,9,3,0.333,8,6,60,31,52.889,5,1,gana_local,2
2025-09-27,gimnasia y tiro,atlanta,2,2,0.4,0.08571428571428574,9,4,0.444,10,6,99,48,50.556,9,4,0.444,8,8,91,47,49.444,4,0,empate,2
2025-09-23,all boys,deportivo madryn,0,0,0.5428571428571429,0.9714285714285714,9,3,0.333,5,5,53,27,46.889,9,7,0.778,18,7,100,65,53.111,0,0,empate,2
2025-09-23,quilmes,club a guemes,0,0,0.34285714285714286,0.9714285714285714,9,2,0.222,7,10,63,36,50.778,9,2,0.222,8,11,88,37,50.778,0,0,empate,2
2025-09-21,racing cordoba,san martin tuc,1,0,0.3142857142857143,0.02857142857142858,9,3,0.333,8,10,106,56,52.0,9,2,0.222,8,12,84,44,55.222,1,1,gana_local,2
2025-09-21,gimnasia jujuy,agropecuario,0,2,0.2857142857142857,0.05714285714285716,9,3,0.333,9,5,66,34,53.444,9,5,0.556,14,8,108,63,50.333,2,-2,gana_visitante,2
2025-09-21,central norte,chacarita,2,1,0.22857142857142854,0.5142857142857142,9,2,0.222,7,11,64,33,50.778,9,2,0.222,7,8,73,34,50.333,3,1,gana_local,2
2025-09-21,colon,deportivo moron,0,0,0.19999999999999996,0.9428571428571428,9,1,0.111,5,16,75,36,48.778,9,4,0.444,7,7,88,40,49.667,0,0,empate,2
